prickles	prickle
queered	queer
establishments	establishment
rambled	ramble
denationalizes	denationalize
singings	singing
clanks	clank
expatriated	expatriate
tying	tie
premières	première
banters	banter
coked	coke
emigrations	emigration
distended	distend
rewarding	reward
ascetics	ascetic
admirers	admirer
polyglots	polyglot
jesters	jester
knuckles	knuckle
rusting	rust
rearmaments	rearmament
dabbed	dab
palletised	palletise
edges	edge
team-mates	team-mate
endothelia	endothelium
thundered	thunder
scuppers	scupper
mewing	mew
oxymorons	oxymoron
screening	screen
belches	belch
poults	poult
parboiled	parboil
coherentest	coherent
enquiring	enquire
scholars	scholar
firebombs	firebomb
overreacted	overreact
observatories	observatory
seasoned	season
sprouts	sprout
eyeglasses	eyeglass
vitrifying	vitrify
strikebreakers	strikebreaker
autoclaves	autoclave
fungating	fungate
ponies	pony
theorises	theorise
reimposing	reimpose
outclassed	outclass
governorates	governorate
tom-toms	tom-tom
insights	insight
waddled	waddle
riling	rile
enactments	enactment
victualled	victual
stridden	stride
mooting	moot
damming	dam
simpletons	simpleton
giggled	giggle
leathers	leather
diptherias	diptheria
overcharging	overcharge
ergs	erg
wavier	wavy
accrued	accrue
declassifying	declassify
rehashing	rehash
baseballs	baseball
misstates	misstate
corrections	correction
sawdusts	sawdust
implementations	implementation
pluperfects	pluperfect
chivvying	chivvy
struggles	struggle
verifies	verify
squealed	squeal
juggling	juggle
preexisted	preexist
shortens	shorten
launching	launch
emanating	emanate
blushers	blusher
panels	panel
suborning	suborn
swineherds	swineherd
amphetamines	amphetamine
half-notes	half-note
corms	corm
valencies	valency
falcons	falcon
rarifying	rarify
rising	rise
unwinded	unwind
praised	praise
arises	arise
discarding	discard
mainstays	mainstay
seagulls	seagull
anaesthetizing	anaesthetize
muscling	muscle
reticles	reticle
paraplegias	paraplegia
survives	survive
matadors	matador
uprisen	uprise
messaging	message
anglicans	anglican
simulators	simulator
henchmen	henchman
chickening	chicken
bruised	bruise
miscounts	miscount
hyphens	hyphen
sinners	sinner
happened	happen
reoriented	reorient
wastewaters	wastewater
lied	lie
doorknobs	doorknob
bows	bow
shaken	shake
re-emphasised	re-emphasise
potholes	pothole
sponsors	sponsor
time-lines	time-line
mitigates	mitigate
disoriented	disorient
foxhunting	foxhunt
piazzas	piazza
accessioning	accession
beaters	beater
appetites	appetite
scraps	scrap
evaluations	evaluation
reactivities	reactivity
outrides	outride
crashed	crash
bridging	bridge
lathed	lathe
mustiest	musty
waifs	waif
enrolling	enrol
layovers	layover
knock-ups	knock-up
psychologists	psychologist
roped	rope
uprises	uprise
borates	borate
convocations	convocation
sequestrations	sequestration
hypovolaemias	hypovolaemia
ionisations	ionisation
concreted	concrete
seawards	seaward
reprimands	reprimand
headmasters	headmaster
convalescences	convalescence
socialized	socialize
herders	herder
led	lead
stock-in-trades	stock-in-trade
stultifying	stultify
dishevelled	dishevel
exacerbated	exacerbate
faculties	faculty
looniest	loony
delimitations	delimitation
generalisations	generalisation
handcuffing	handcuff
inositols	inositol
translated	translate
sketchbooks	sketchbook
imparts	impart
rehydrates	rehydrate
screwier	screwy
coals	coal
freelancing	freelance
gouramis	gourami
revoked	revoke
better	good
proportionated	proportionate
budgeted	budget
railroaded	railroad
eclipses	eclipse
biodiesels	biodiesel
pepped	pep
briefs	brief
over-ate	over-eat
chosen	choose
expurgating	expurgate
tenches	tench
sliding	slide
hearths	hearth
contexts	context
tarries	tarry
injecting	inject
promotes	promote
capitalising	capitalise
deciding	decide
metasearches	metasearch
criteria	criterion
vultures	vulture
sooner	soon
augmentations	augmentation
abraded	abrade
follies	folly
gaoled	gaol
suitabilities	suitability
denervations	denervation
marshaling	marshal
monopolises	monopolise
hairdressers	hairdresser
amphotericins	amphotericin
thinnest	thin
consumed	consume
paintballs	paintball
essayed	essay
paedophilias	paedophilia
stigmatizes	stigmatize
thronged	throng
non-groups	non-group
slinkier	slinky
waives	waive
retreated	retreat
co-ordinating	co-ordinate
manacles	manacle
shuddered	shudder
caliphates	caliphate
refracts	refract
rudders	rudder
syphoned	syphon
pili	pilus
files	file
commended	commend
methamphetamines	methamphetamine
decamps	decamp
overhauling	overhaul
contributions	contribution
malocclusions	malocclusion
caricatures	caricature
glorified	glorify
draughtboards	draughtboard
barbecues	barbecue
habituations	habituation
drawers	drawer
humanists	humanist
handled	handle
syndicating	syndicate
guys	guy
robins	robin
spiced	spice
drs	dr
housetrained	housetrain
augmented	augment
glided	glide
sates	sate
twiddles	twiddle
clinched	clinch
weakest	weak
workrooms	workroom
screeching	screech
fattiest	fatty
editorialising	editorialise
sulkier	sulky
bonbons	bonbon
typewriters	typewriter
domesticated	domesticate
drip-feeded	drip-feed
signaled	signal
kneels	kneel
convincing	convince
scabbier	scabby
named	name
paralysing	paralyse
methadones	methadone
luncheons	luncheon
inclines	incline
hostas	hosta
cigars	cigar
skimpiest	skimpy
intermarries	intermarry
leveraging	leverage
overbears	overbear
camerae	camera
clutches	clutch
hounds	hound
hurries	hurry
quips	quip
hirsutisms	hirsutism
twiddled	twiddle
bestrewing	bestrew
weaned	wean
mismanaging	mismanage
self-described	self-describe
dictions	diction
unclasped	unclasp
neuroimagings	neuroimaging
curses	curse
exigencies	exigency
byways	byway
conservatives	conservative
embezzling	embezzle
divulges	divulge
spacecrafts	spacecraft
turbulences	turbulence
allantoins	allantoin
books	book
potentates	potentate
lampreys	lamprey
enumerates	enumerate
preschools	preschool
scrabbles	scrabble
perturbed	perturb
phone-ins	phone-in
demolishes	demolish
debugs	debug
bedforms	bedform
saddling	saddle
thistles	thistle
relent	relend
nastiest	nasty
bettors	bettor
cherished	cherish
radiofrequencies	radiofrequency
gentler	gentle
rissoles	rissole
isothiocyanates	isothiocyanate
jointed	joint
bathrobes	bathrobe
sunstrokes	sunstroke
positioned	position
disengaged	disengage
snuffled	snuffle
shunning	shun
ultrasonographies	ultrasonography
disquieted	disquiet
stalking	stalk
fomenting	foment
busts	bust
womanlier	womanly
globalizing	globalize
fudges	fudge
narrownesses	narrowness
interrelations	interrelation
encoded	encode
faucets	faucet
stables	stable
electronegativities	electronegativity
shied	shy
apparati	apparatus
dishevels	dishevel
bivouacing	bivouac
crayoned	crayon
trioxides	trioxide
immatures	immature
totalities	totality
fooled	fool
lean-tos	lean-to
meant	mean
sufferers	sufferer
slacknesses	slackness
reduplications	reduplication
associativities	associativity
aflatoxins	aflatoxin
retells	retell
calcitonins	calcitonin
behests	behest
messengers	messenger
clearings	clearing
swotted	swot
artefacts	artefact
tidying	tidy
waivers	waiver
contracted	contract
diverged	diverge
striated	striate
deeming	deem
indexed	index
hips	hip
snivelled	snivel
solitudes	solitude
chiralities	chirality
maces	mace
vdus	vdu
embroiderers	embroiderer
eluting	elute
flintier	flinty
misapprehends	misapprehend
air-dried	air-dry
woodcrafts	woodcraft
worshippers	worshipper
liked	like
top-ups	top-up
re-inspections	re-inspection
catarrhs	catarrh
tongues	tongue
lazing	laze
bayoneted	bayonet
biochemistries	biochemistry
negroids	negroid
gobies	goby
concatenated	concatenate
precipitates	precipitate
reckoning	reckon
foresights	foresight
pigtails	pigtail
deltoids	deltoid
scarified	scarify
rhymed	rhyme
pls	pl
chinking	chink
handlers	handler
bleeding	bleed
browbeats	browbeat
colonising	colonise
dyspepsias	dyspepsia
slingshots	slingshot
legionelloses	legionellosis
twisters	twister
fairways	fairway
patted	pat
spillways	spillway
woodworms	woodworm
chequerboards	chequerboard
hourglasses	hourglass
co-starring	co-star
embitters	embitter
spilling	spill
nuzzled	nuzzle
collies	collie
publicans	publican
flabbier	flabby
overexposing	overexpose
fingertips	fingertip
visitations	visitation
chipping	chip
maxs	max
durabilities	durability
anti-heroes	anti-hero
snubbed	snub
displaces	displace
faultiest	faulty
re-launched	re-launch
peppering	pepper
cutbacks	cutback
externalists	externalist
lacquered	lacquer
surrendering	surrender
entrusting	entrust
reengineered	reengineer
cross-stitches	cross-stitch
buffalos	buffalo
crimsonest	crimson
proportionates	proportionate
airs	air
pre-printing	pre-print
unfixing	unfix
electrometers	electrometer
trodden	tread
devastated	devastate
commercializes	commercialize
essentials	essential
undertows	undertow
despoiling	despoil
comforted	comfort
keywords	keyword
holographs	holograph
lignans	lignan
purposed	purpose
sandpapers	sandpaper
hand-picks	hand-pick
bawls	bawl
teleports	teleport
scolding	scold
imitated	imitate
transpired	transpire
signa	signum
implanting	implant
dourest	dour
acts	act
monetarists	monetarist
whinging	whinge
ora	oris
republishing	republish
yesterdays	yesterday
gagged	gag
burnings	burning
pulpits	pulpit
capsizes	capsize
incised	incise
arthropathies	arthropathy
spiting	spite
quadratures	quadrature
vacates	vacate
concurrencies	concurrency
midwinters	midwinter
commuted	commute
donates	donate
digging	dig
matter	mat
poking	poke
generations	generation
conflicts	conflict
advocating	advocate
practic	practice
dhotis	dhoti
excavations	excavation
fonder	fond
bonds	bond
sympathised	sympathise
reconstituted	reconstitute
demonstrations	demonstration
butchers	butcher
cross-questioning	cross-question
tartest	tart
re-sent	re-send
fermentations	fermentation
sipped	sip
disowns	disown
scorns	scorn
refounding	refound
escapers	escaper
reorientations	reorientation
asteroids	asteroid
dizzying	dizzy
heftier	hefty
rubber-stamps	rubber-stamp
pomposities	pomposity
oxidisations	oxidisation
centres	centre
supercharging	supercharge
short-circuits	short-circuit
equivalences	equivalence
runabouts	runabout
coverlets	coverlet
re-trained	re-train
spanners	spanner
authorising	authorise
rollings	rolling
creepy-crawlies	creepy-crawly
reheard	rehear
frilled	frill
thyroxines	thyroxine
blowing	blow
conflated	conflate
co-ordinators	co-ordinator
hopping	hop
footing	foot
straitjackets	straitjacket
skittered	skitter
brainstorming	brainstorm
holograms	hologram
fetishes	fetish
biles	bile
stenoses	stenosis
irking	irk
propellants	propellant
cacaos	cacao
allografts	allograft
silages	silage
confections	confection
passives	passive
interceptions	interception
transmissibilities	transmissibility
virilities	virility
bunches	bunch
protégées	protégée
reprinted	reprint
coddling	coddle
immunologists	immunologist
nesters	nester
papas	papa
nullified	nullify
slaps	slap
parades	parade
newer	new
reanalyses	reanalysis
politicoes	politico
groaning	groan
reimburses	reimburse
ringsides	ringside
peoples	people
uprated	uprate
sat	sit
ancestries	ancestry
rampaging	rampage
substantiae	substantia
visualized	visualize
evangelists	evangelist
lacerated	lacerate
wrights	wright
matchmakers	matchmaker
jousts	joust
camouflaged	camouflage
enlisting	enlist
genitives	genitive
maintains	maintain
conditionals	conditional
canapes	canape
itinerants	itinerant
clients	client
sabers	saber
refloating	refloat
dormice	dormouse
furriest	furry
inventions	invention
potentials	potential
repots	repot
ascents	ascent
engulfs	engulf
lookers	looker
mammies	mammy
transferring	transfer
mustered	muster
poppies	poppy
teethes	teethe
ricochets	ricochet
wishes	wish
detainees	detainee
sexier	sexy
toying	toy
kelps	kelp
thrusts	thrust
castled	castle
optimums	optimum
soothing	soothe
elucidated	elucidate
quarries	quarry
terrorizing	terrorize
cajoling	cajole
soggier	soggy
double-checked	double-check
wadis	wadi
scummier	scummy
guillotining	guillotine
unravels	unravel
quantifiers	quantifier
denarii	denarius
paps	pap
breasted	breast
pities	pity
seventeenth	17
noted	note
eczemata	eczema
syns	syn
counter-measures	counter-measure
preening	preen
tantalises	tantalise
tucks	tuck
landholdings	landholding
pronounces	pronounce
clinches	clinch
syncs	sync
cambering	camber
heirlooms	heirloom
hitch-hiking	hitch-hike
drooping	droop
mattered	matter
prioritises	prioritise
malays	malay
cabinetmakers	cabinetmaker
convolves	convolve
discriminated	discriminate
fosterers	fosterer
hanged	hang
desegregates	desegregate
moistening	moisten
unanimities	unanimity
deckers	decker
hurting	hurt
renationalises	renationalise
conductions	conduction
drumbeats	drumbeat
levies	levy
rating	rate
bestsellers	bestseller
bridleways	bridleway
sports	sport
amaranths	amaranth
subducts	subduct
trolled	troll
stomaches	stomach
prejudged	prejudge
reconvicted	reconvict
persecutors	persecutor
nudists	nudist
larches	larch
windier	windy
sparser	sparse
pummelled	pummel
evanesced	evanesce
burnt	burn
ends	end
quizzing	quiz
offerings	offering
over-represented	over-represent
locusts	locust
chrysalises	chrysalis
charismata	charisma
tanneries	tannery
repulses	repulse
purveyors	purveyor
pieties	piety
solvates	solvate
refurbishes	refurbish
discoursing	discourse
hamsters	hamster
re-constructions	re-construction
basing	base
decays	decay
muses	muse
relapsed	relapse
expands	expand
faultier	faulty
used	use
generalized	generalize
launders	launder
plunders	plunder
bulged	bulge
windmills	windmill
minted	mint
sheered	sheer
duskier	dusky
rubber-stamped	rubber-stamp
kicking	kick
call-girls	call-girl
mortices	mortice
eggcups	eggcup
bisphosphonates	bisphosphonate
horsing	horse
stewards	steward
bandies	bandy
re-calculating	re-calculate
backed	back
regionalizations	regionalization
adsorbates	adsorbate
listening	listen
homoeopaths	homoeopath
romps	romp
scrubbiest	scrubby
peptalks	peptalk
anteaters	anteater
chines	chine
hooped	hoop
warring	war
adjourns	adjourn
grimed	grime
ultimata	ultimatum
immortalising	immortalise
referrers	referrer
floors	floor
reloads	reload
refractories	refractory
adorned	adorn
stepping	step
non-believers	non-believer
trivialized	trivialize
emptied	empty
institutionalizations	institutionalization
ya	you
intruders	intruder
title-holders	title-holder
dispersants	dispersant
couplings	coupling
installers	installer
naturalizations	naturalization
back-drops	back-drop
planest	plane
nanoparticles	nanoparticle
melees	melee
addicting	addict
tyring	tyre
excises	excise
weenier	weeny
specialized	specialize
striving	strive
week-days	week-day
sheiks	sheik
explains	explain
elites	elite
nagged	nag
examining	examine
spiralled	spiral
merges	merge
haulers	hauler
empires	empire
off-springs	off-spring
lubricators	lubricator
saddles	saddle
labels	label
unsettles	unsettle
peccadilloes	peccadillo
decrypts	decrypt
visualised	visualise
bestiaries	bestiary
phonologies	phonology
disestablishes	disestablish
busying	busy
dolled	doll
fillies	filly
flatterers	flatterer
crosses	cross
soliloquies	soliloquy
secluded	seclude
slurps	slurp
unfamiliarities	unfamiliarity
substantiates	substantiate
overcharges	overcharge
wholefoods	wholefood
wrinkled	wrinkle
standing	stand
motherlands	motherland
countersigns	countersign
eighty-second	82
arrestees	arrestee
de-emphasises	de-emphasise
seabeds	seabed
edgier	edgy
aligns	align
brassicas	brassica
crated	crate
tailing	tail
stopwatches	stopwatch
impulses	impulse
groovier	groovy
tweaks	tweak
dressier	dressy
saunas	sauna
mavericks	maverick
abounds	abound
terrestrials	terrestrial
tenths	tenth
figurines	figurine
mermaids	mermaid
ninety-second	92
cranking	crank
discusses	discuss
layered	layer
cells	cell
agglomerating	agglomerate
penguins	penguin
canalized	canalize
back-combing	back-comb
choosier	choosy
extensions	extension
fallen	fall
summed	sum
jauntiest	jaunty
boardrooms	boardroom
cheesier	cheesy
commandants	commandant
woke	wake
over-estimated	over-estimate
funking	funk
anatomies	anatomy
schools	school
synchronicities	synchronicity
kds	kd
gusting	gust
quitting	quit
peg-legs	peg-leg
overdeveloped	overdevelop
hysterectomies	hysterectomy
rotundest	rotund
shagged	shag
premiums	premium
transpiring	transpire
thickenings	thickening
meltdowns	meltdown
black-outs	black-out
axils	axil
subpopulations	subpopulation
co-operatives	co-operative
apter	apt
regressions	regression
gawped	gawp
re-surveyed	re-survey
kicked	kick
contractures	contracture
surveyed	survey
girlfriends	girlfriend
deterred	deter
abstainers	abstainer
tailpipes	tailpipe
betas	beta
scuttled	scuttle
welches	welch
slobbers	slobber
baptising	baptise
crabs	crab
rhythms	rhythm
reconditioned	recondition
totaling	total
outlets	outlet
bails	bail
jubilations	jubilation
pupated	pupate
levied	levy
wickeder	wicked
respondents	respondent
baby-sat	baby-sit
circumcising	circumcise
covets	covet
housemothers	housemother
squinting	squint
recuperating	recuperate
prodding	prod
wage-packets	wage-packet
encrypting	encrypt
forebodes	forebode
harvesting	harvest
martinets	martinet
oilrigs	oilrig
peddling	peddle
spellers	speller
undermined	undermine
sts	st
cigarettes	cigarette
officiated	officiate
whiling	while
yogurts	yogurt
hastening	hasten
composers	composer
mammograms	mammogram
cholerae	cholera
bottle-openers	bottle-opener
ergotamines	ergotamine
quantifying	quantify
skimmed	skim
pinged	ping
standards	standard
re-filled	re-fill
candelabra	candelabrum
deprives	deprive
communiques	communique
sightseeing	sightsee
fitters	fitter
truckles	truckle
awkwardnesses	awkwardness
breakwaters	breakwater
uncoupling	uncouple
unwrapping	unwrap
inhibited	inhibit
cranes	crane
excerpting	excerpt
fedexes	fedex
overgrew	overgrow
lumpiest	lumpy
originations	origination
despatched	despatch
truckled	truckle
collating	collate
bents	bent
doted	dote
sloes	sloe
overworks	overwork
pings	ping
mausoleums	mausoleum
patens	paten
overrules	overrule
plausibilities	plausibility
hypnotherapists	hypnotherapist
shushing	shush
supercedes	supercede
banqueted	banquet
narrations	narration
zooms	zoom
interrogators	interrogator
sheens	sheen
grids	grid
degases	degas
chippers	chipper
foresters	forester
shrills	shrill
cascading	cascade
fluorinated	fluorinate
biggest	big
magisteria	magisterium
disapproving	disapprove
microfossils	microfossil
lingers	linger
regicides	regicide
divides	divide
barques	barque
shanghais	shanghai
re-instating	re-instate
fifty-eighth	58
monsters	monster
heights	height
inhalants	inhalant
stonewalls	stonewall
prestresses	prestress
thicknesses	thickness
digitizes	digitize
relishes	relish
rubrics	rubric
misinterpreting	misinterpret
civilizing	civilize
squashing	squash
glossaries	glossary
stirring	stir
chateaus	chateau
epidemiologists	epidemiologist
re-engineered	re-engineer
detrains	detrain
toolsets	toolset
theorized	theorize
adverbs	adverb
randomizations	randomization
debunking	debunk
sittings	sitting
stop-pressed	stop-press
casements	casement
renegotiating	renegotiate
lisped	lisp
tersest	terse
unbalances	unbalance
drones	drone
medicaments	medicament
leukemias	leukemia
sub-populations	sub-population
haddocks	haddock
enroling	enrol
grazers	grazer
vowed	vow
lounged	lounge
sniping	snipe
towers	tower
railwaymen	railwayman
byres	byre
doublecrossed	doublecross
uncouples	uncouple
backwashes	backwash
raped	rape
outhouses	outhouse
controls	control
hyperinflations	hyperinflation
undertakers	undertaker
manifestations	manifestation
flattening	flatten
simulacrums	simulacrum
reticulated	reticulate
privatised	privatise
absorbents	absorbent
staircases	staircase
lexicons	lexicon
practicalities	practicality
warm-ups	warm-up
digitizers	digitizer
ported	port
encamped	encamp
discolours	discolour
snipes	snipe
scopes	scope
tremolos	tremolo
boredoms	boredom
ghettoises	ghettoise
intimations	intimation
fells	fell
toilettes	toilette
multi-processors	multi-processor
bowls	bowl
maws	maw
stopes	stope
disaffiliates	disaffiliate
deploring	deplore
woodiest	woody
cantonments	cantonment
vended	vend
enforced	enforce
grilses	grilse
repays	repay
depersonalisations	depersonalisation
non-humans	non-human
environments	environment
skiving	skive
romances	romance
masculines	masculine
situationists	situationist
conjunctions	conjunction
feistier	feisty
disinfectants	disinfectant
enshrines	enshrine
hying	hie
toffs	toff
espousals	espousal
solitaries	solitary
boldfaces	boldface
re-energises	re-energise
anneals	anneal
motorbikes	motorbike
bracts	bract
midweeks	midweek
killers	killer
acids	acid
clubbing	club
busing	bus
skittering	skitter
works-in-progress	work-in-progress
encodes	encode
hydroids	hydroid
spokes	spoke
behaviorists	behaviorist
disposables	disposable
beavering	beaver
corrals	corral
sorest	sore
mandolines	mandoline
slouched	slouch
folklores	folklore
qubits	qubit
conceits	conceit
retransmitting	retransmit
mismatches	mismatch
whittled	whittle
spellbound	spellbind
resurfacing	resurface
u-turns	u-turn
excommunications	excommunication
tens	ten
pressganged	pressgang
recommended	recommend
arrogated	arrogate
romanies	romany
sub-assemblies	sub-assembly
striatums	striatum
tarted	tart
polymerising	polymerise
utilized	utilize
soughed	sough
relieved	relieve
cleverer	clever
xrays	xray
pull-ups	pull-up
travels	travel
delaminations	delamination
wolds	wold
dissimulations	dissimulation
microlenses	microlens
phantoms	phantom
antagonizes	antagonize
nauseated	nauseate
wending	wend
thrombolyses	thrombolysis
spun	spin-dry
boned	bone
buccaneers	buccaneer
paunchier	paunchy
apparenter	apparent
rebuilded	rebuild
droning	drone
pinafores	pinafore
pfs	pf
fetes	fete
successions	succession
uttered	utter
tingled	tingle
morphologies	morphology
cheerfulnesses	cheerfulness
spacings	spacing
giros	giro
reshuffling	reshuffle
wavelets	wavelet
eradicating	eradicate
mutineers	mutineer
tunneling	tunnel
forsakes	forsake
careerists	careerist
trombones	trombone
umpired	umpire
counterexamples	counterexample
tankers	tanker
recollected	recollect
spookiest	spooky
stanchions	stanchion
interrelating	interrelate
localisations	localisation
pipping	pip
counterattacked	counterattack
trashiest	trashy
mimics	mimic
step-mothers	step-mother
inductances	inductance
commodifies	commodify
baryons	baryon
gooks	gook
modernizing	modernize
polarizers	polarizer
perplexes	perplex
oscillated	oscillate
infills	infill
separated	separate
configures	configure
knotted	knot
heeds	heed
prolonged	prolong
filching	filch
technicians	technician
tieing	tie
declared	declare
learns	learn
sub-models	sub-model
vellums	vellum
hedging	hedge
pillows	pillow
papyruses	papyrus
nasopharynxes	nasopharynx
handcarts	handcart
tridents	trident
misses	miss
trollops	trollop
sleeves	sleeve
titbits	titbit
hacks	hack
rumpuses	rumpus
sardines	sardine
plains	plain
particles	particle
staunching	staunch
eigenfunctions	eigenfunction
biologists	biologist
thralls	thrall
despots	despot
wales	wale
rippled	ripple
brutalizing	brutalize
clearinghouses	clearinghouse
plunged	plunge
set-tos	set-to
trafficking	traffic
phagocytoses	phagocytosis
gateposts	gatepost
aspartames	aspartame
thromboembolisms	thromboembolism
blatting	blat
capers	caper
hardcopies	hardcopy
slicers	slicer
psychotherapies	psychotherapy
slicking	slick
kneading	knead
facets	facet
coined	coin
confiscates	confiscate
fripperies	frippery
migs	mig
rubbishing	rubbish
camellias	camellia
drowned	drown
pierced	pierce
tip-toes	tip-toe
parings	paring
conspiracies	conspiracy
passivizing	passivize
explosives	explosive
imposing	impose
hanger-ons	hanger-on
retorting	retort
respires	respire
taxies	taxi
attendants	attendant
apparels	apparel
cross-examined	cross-examine
vocalists	vocalist
taxonomists	taxonomist
re-decorated	re-decorate
pricked	prick
designed	design
cribs	crib
lipopolysaccharides	lipopolysaccharide
longevities	longevity
armed	arm
singing	singe
synchronising	synchronise
problematised	problematise
bulkiest	bulky
rebooted	reboot
mellowed	mellow
awakening	awaken
modernizations	modernization
trichiases	trichiasis
landscapers	landscaper
carrels	carrel
thrown	throw
unabled	unable
varnished	varnish
fusions	fusion
mummies	mummy
shams	sham
ontologies	ontology
mice	mouse
cannibalising	cannibalise
slithered	slither
ninety-eighths	ninety-eighth
putamina	putamen
outflanked	outflank
prayers	prayer
illegalities	illegality
improved	improve
glamorises	glamorise
subscribed	subscribe
misplaces	misplace
forges	forge
maps	map
post-treatments	post-treatment
possibles	possible
lipped	lip
peritonea	peritoneum
bays	bay
depreciates	depreciate
clumsier	clumsy
disorients	disorient
globins	globin
loneliest	lonely
chiasms	chiasm
aliments	aliment
trekked	trek
grousing	grouse
acquainted	acquaint
brazing	braze
self-corrects	self-correct
silkier	silky
fluids	fluid
formalisations	formalisation
russets	russet
walloped	wallop
percents	percent
projected	project
diluents	diluent
consonances	consonance
plasters	plaster
plantains	plantain
built	build
regenerations	regeneration
catnaps	catnap
bogs	bog
calcs	calc
ventured	venture
mantling	mantle
ejidos	ejido
disintegrates	disintegrate
manservants	manservant
feeders	feeder
right-handers	right-hander
plasticises	plasticise
rioted	riot
underachievements	underachievement
bigwigs	bigwig
obtaining	obtain
cupolas	cupola
mimicing	mimic
reneged	renege
pretzels	pretzel
promulgating	promulgate
descendents	descendent
attractions	attraction
tracked	track
characterized	characterize
happing	hap
equaled	equal
compiles	compile
candidacies	candidacy
snicks	snick
forgone	forgo
ninety-fifth	95
tangled	tangle
mps	mp
minstrels	minstrel
end-users	end-user
bustled	bustle
concierges	concierge
pharisees	pharisee
inspiring	inspire
bootleggers	bootlegger
cucumbers	cucumber
propanes	propane
adulterated	adulterate
asbestoses	asbestosis
care-givers	care-giver
canalizing	canalize
blethers	blether
conscripted	conscript
benches	bench
maples	maple
lyrae	lyra
sootiest	sooty
thrushes	thrush
priestlier	priestly
exceedances	exceedance
fishiest	fishy
gasolines	gasoline
embroidering	embroider
potions	potion
counteracted	counteract
rebutted	rebut
caving	cave
kites	kite
shorties	shortie
cannibalised	cannibalise
flirting	flirt
gratifications	gratification
retaking	retake
wondering	wonder
enigmas	enigma
julias	julia
monetised	monetise
gauzes	gauze
parrots	parrot
patchier	patchy
careering	career
ameliorated	ameliorate
sinking	sink
ywcas	ywca
pacifying	pacify
forty-third	43
nation-states	nation-state
inched	inch
reinscribing	reinscribe
rearmed	rearm
outwearing	outwear
lubrications	lubrication
tenth	10
indicating	indicate
skuas	skua
refectories	refectory
gestalten	gestalt
aircrafts	aircraft
strobes	strobe
spoonerisms	spoonerism
ultraviolets	ultraviolet
cubister	cubist
glissandos	glissando
hooking	hook
interrelationships	interrelationship
cannoning	cannon
chivvied	chivvy
questions	question
alleges	allege
excising	excise
throwing	throw
coalmines	coalmine
assembling	assemble
deafened	deafen
sub-systems	sub-system
advisabilities	advisability
reputes	repute
patricians	patrician
anklets	anklet
codices	codex
scrummaged	scrummage
arses	arse
governor-generals	governor-general
chanced	chance
delivered	deliver
curls	curl
fastened	fasten
overspended	overspend
telepresences	telepresence
transliterations	transliteration
cloaked	cloak
pre-programmed	pre-programme
coxswains	coxswain
valeting	valet
guest-houses	guest-house
overpowering	overpower
pasteurising	pasteurise
seedings	seeding
patting	pat
microphones	microphone
ephemerals	ephemeral
lowers	lower
adverbials	adverbial
seduced	seduce
breastplates	breastplate
intercalating	intercalate
croons	croon
gambles	gamble
micturitions	micturition
refashioned	refashion
prizing	prize
inventing	invent
ventilators	ventilator
roughages	roughage
scatterbrains	scatterbrain
bastes	baste
starchiest	starchy
relining	reline
snorkeled	snorkel
wattles	wattle
renewing	renew
pois	poi
excipients	excipient
